"","title","year","topic"
"306","Peer_to_Peer_[Journées_Thématiques]+_UTF8.txt",2014,3
"307","PEREZ.txt",2014,2
"308","PRATIQUE.txt",2014,6
"309","Profondeurs_inversés.txt",2014,4
"310","Projection_de_""Sorties""_-_Laure_de_Selys.txt",2014,5
"311","Quadri_Fogli.txt",2014,6
"312","RE✝FA.txt",2014,4
"313","Refus.txt",2014,4
"314","Rencontre_et_signature_avec_Aurélia_Alcais.txt",2014,5
"315","Right_to_the_point_#2.txt",2014,1
"316","Right_to_the_point_#3.txt",2014,1
"317","Right_to_the_point_#4.txt",2014,1
"318","Right_to_the_point_#5.txt",2014,1
"319","Right_to_the_point.txt",2014,1
"320","Sam.txt",2014,6
"321","Semaine_des_Musées_sur_Twitter.txt",2014,1
"322","Signature_de_Jean-Baptiste_Mondino.txt",2014,5
"323","Skyline.txt",2014,4
"324","Slow_Made.txt",2014,1
"325","Slowmo_:_Le_Ralentisseur.txt",2014,4
"326","Soirée_BTP_(Blaguer,_Tchatcher,_Penser)_#1.txt",2014,5
"327","Sur_un_plan_incliné.txt",2014,8
"328","Sven_Sachsalber.txt",2014,4
"329","That_Summer.txt",2014,2
"330","The_Arts_Arena_Watermill_performance.txt",2014,8
"331","The_Cage's_33_1:3_Project.txt",2014,4
"332","The_Ghost_in_The_Machine_[Journées_Thématiques].txt",2014,4
"333","The_Last_Goodbye.txt",2014,4
"334","The_Viewers.txt",2014,4
"335","The_Yvonne_Rainer_Project_Nexus_Rainer.txt",2014,6
"336","Tigersushi.txt",2014,2
"337","TO_YOU!_TO_YOU!_de_Franck_Krawczyk.txt",2014,4
"338","Un-visible.txt",2014,4
"339","Une_vision_douteuse_et_à_chaque_minute_anéantie_par_l'oubli.txt",2014,6
"340","Untitled_performance_#2_(loop).txt",2014,4
"341","User_des_lieux_comme_des_vêtements_portés.txt",2014,4
"342","VIXX_(Voice_Visual_Value_in_Excelsis).txt",2014,8
"343","Wiels_-_Biscotti_:_Heinecken,_….txt",2014,5
"344","Zwerm_(Carte_blanche_à_François_Sarhan).txt",2014,2
"345","""Nul_ne_sera_soumis_à_la_torture"".txt",2013,5
"346","""Radical_Enlightenment._A_symposium_on_cybernetics_and_the_soul"".txt",2013,6
"347","100_Big_Entrances+_UTF8.txt",2013,4
"348","A_day_of_screenings_of_Véronique_Doisneau_and_Pichet_Klunchun_and_myself+_UTF8.txt",2013,3
"349","A_la_poursuite_du_Manguou-Paipeurmou+_UTF8.txt",2013,1
"350","ARMORY_SHOW.txt",2013,1
"351","Attractions_-_4ème_séance.txt",2013,4
"352","Attractions_-_5ème_séance.txt",2013,4
"353","Bureau_des_mots_par_Valérie_Lang+_UTF8.txt",2013,5
"354","Capturer_l’image_dans_la_durée+_UTF8.txt",2013,6
"355","Chantiers_d'Europe_Lisbonne_-_Paris+_UTF8.txt",2013,6
"356","Cliché_+_Vendredi_+_Guillaume_Delaperriere+_UTF8.txt",2013,2
"357","Composition_for_tuning_an_architectural_space_(2013)+_UTF8.txt",2013,4
"358","Configuration_du_dernier_rivage+_UTF8.txt",2013,2
"359","Conversations_sur_tout_ce_qui_tombe_-_3ème_rencontre.txt",2013,7
"360","Conversations_sur_tout_ce_qui_tombe_-_4ème_rencontre.txt",2013,7
"361","Conversations_sur_tout_ce_qui_tombe_-_5ème_rencontre+_UTF8.txt",2013,7
"362","Cyclonus_Varius_ou_l’œil_magique.txt",2013,1
"363","DADA_FÉTICHE_Une_collection_de_multiples_-_4.txt",2013,5
"364","Défilé_de_mode_-_Palais_de_Tokyo_:_Villa_Noailles.txt",2013,3
